"dates","regnkron","regnsum"
2015-01-01,18.1,18.1
2015-01-02,35.8,53.9
2015-01-03,12.8,66.7
2015-01-04,5.6,72.3
2015-01-05,1.4,73.7
2015-01-06,7.4,81.1
2015-01-07,23.5,104.6
2015-01-08,21.8,126.4
2015-01-09,11.3,137.7
2015-01-10,7.3,145
2015-01-11,25.3,170.3
2015-01-12,29.5,199.8
2015-01-13,14.5,214.3
2015-01-14,8.2,222.5
2015-01-15,10.9,233.4
2015-01-16,19.5,252.9
2015-01-17,30.9,283.8
2015-01-18,26.8,310.6
2015-01-19,1.6,312.2
2015-01-20,0,312.2
2015-01-21,0,312.2
2015-01-22,0,312.2
2015-01-23,0,312.2
2015-01-24,15.4,327.6
2015-01-25,6.6,334.2
2015-01-26,21.2,355.4
2015-01-27,4.3,359.7
2015-01-28,47.8,407.5
2015-01-29,28.5,436
2015-01-30,70.5,506.5
2015-01-31,9.6,516.1
2015-02-01,0,516.1
2015-02-02,0,516.1
2015-02-03,0.1,516.2
2015-02-04,0,516.2
2015-02-05,0,516.2
2015-02-06,1.2,517.4
2015-02-07,6.3,523.7
2015-02-08,9.1,532.8
2015-02-09,12,544.8
2015-02-10,6.8,551.6
2015-02-11,0.8,552.4
2015-02-12,2.9,555.3
2015-02-13,0.6,555.9
2015-02-14,2.7,558.6
2015-02-15,0,558.6
2015-02-16,0,558.6
2015-02-17,9,567.6
2015-02-18,35.3,602.9
2015-02-19,71.1,674
2015-02-20,5.1,679.1
2015-02-21,16.6,695.7
2015-02-22,9.7,705.4
2015-02-23,6,711.4
2015-02-24,11.8,723.2
2015-02-25,9.2,732.4
2015-02-26,4,736.4
2015-02-27,23.2,759.6
2015-02-28,2.9,762.5
2015-03-01,22.4,784.9
2015-03-02,19.2,804.1
2015-03-03,7.5,811.6
2015-03-04,10,821.6
2015-03-05,4.6,826.2
2015-03-06,37.6,863.8
2015-03-07,17.1,880.9
2015-03-08,35.6,916.5
2015-03-09,8.2,924.7
2015-03-10,9.2,933.9
2015-03-11,2.2,936.1
2015-03-12,8.9,945
2015-03-13,0,945
2015-03-14,0,945
2015-03-15,0,945
2015-03-16,0,945
2015-03-17,0,945
2015-03-18,0.4,945.4
2015-03-19,0,945.4
2015-03-20,29.2,974.6
2015-03-21,25.7,1000.3
2015-03-22,4.8,1005.1
2015-03-23,66.5,1071.6
2015-03-24,14.2,1085.8
2015-03-25,0.2,1086
2015-03-26,0,1086
2015-03-27,0,1086
2015-03-28,6.1,1092.1
2015-03-29,5.8,1097.9
